"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
00052598-3666-4428-82fc-7493daa3ff1c,"#N/A",085d136a-ea0a-4105-bc0f-073efd6fbbf2,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
001614e6-e60f-4bba-abf7-498238812479,"#N/A",2ae918b7-95c3-486c-aa9c-adcf05c900f3,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",800.0,160.0,"#N/A"
0024cb09-c57c-45d1-a8a2-5152a12bd697,"#N/A",5fa8007d-6808-4a9d-932b-06225165b16c,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
002a2aea-50bb-4576-93c2-a93e987931fa,"#N/A",71b327f0-5293-4660-9864-86fd37406eee,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00417b05-0f22-477e-aea7-03ae26fcc08c,"#N/A",843beb93-7eab-45d9-a1b3-4e0f3875dc61,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
004ec030-d405-4722-b04d-0c44663fe7ea,"#N/A",1e730a1a-4c62-45e0-bca3-fd89755f2ed6,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
0058dc12-cbce-48db-bfca-689169cc7882,"#N/A",ef0040a2-2c51-4fb7-951e-05371ce351e9,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
007d4485-9f44-43ce-9bcc-d0e67cfb0ef2,"#N/A",790dc55e-e0a6-4b66-acfa-25d37d332fcc,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00923475-da5b-49ae-95bb-192589d064c7,"#N/A",c852695c-e4fd-43fd-9be8-6fae0eb265ac,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
009925e2-1ed9-40e3-a1e9-92f26eb13682,"#N/A",a27cedd7-398a-476c-b3ee-6f60e0295a6a,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
009e73a0-0d1e-4e8b-9873-0ceb70c1df64,"#N/A",b8b43b5e-37d0-4d2b-a15f-02d1229f2908,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
00b45d50-9af5-4126-b7ae-026f4e01046e,"#N/A",7dda4af6-024a-42f8-b3e3-a19166b4f537,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00be0761-ff1d-4520-a1a5-3c38ae96a00a,"#N/A",5d8a9202-193f-4e92-a6f6-e5eb5fd83dea,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
00c78b0b-bcd9-4a0b-896f-8118cb2ffea4,"#N/A",4cfdcdb6-51bb-40dd-979c-6edc5d4875a9,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
00ca5b0d-ce77-4efa-80fe-2f32323e3cea,"#N/A",d92cc409-6fdd-430f-b4db-a489597333a4,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00dd2f33-073c-40c2-b5ec-2afc5b124aac,"#N/A",5d8a9202-193f-4e92-a6f6-e5eb5fd83dea,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00dfb9e0-4fee-4be4-8f12-28ba13defd15,"#N/A",4cfb5179-6484-4e7c-87b7-cc8fc57f26f1,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
01201052-a127-4d19-8dd0-5ceed5d046e2,"#N/A",16be60dd-9679-43ec-9ed0-5df17ef93e16,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
0125d5c9-2bed-4fc8-87f5-327c12f35f90,"#N/A",df509406-bac5-4517-808a-d85ad0fddafd,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
01270a7e-8c8b-4804-a9e2-87a266797dc6,"#N/A",0e7a201b-bfef-4e9a-9505-c574e34cd0d5,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",6750.0,450.0,"#N/A"
012b8277-524a-4c07-85a1-345303d74d6d,"#N/A",4cfdcdb6-51bb-40dd-979c-6edc5d4875a9,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
013d60bd-8c0f-45a3-9ad3-44058d0697f6,"#N/A",96e49c58-444e-400e-b2af-c47348728083,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0160a12e-425d-43f1-b1f6-19e62dab89b9,"#N/A",ef615844-e8b3-44d0-9bcc-f79156d397ce,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
01736065-c11e-432b-bf69-e2c3b3b6d10c,"#N/A",84a8ceb6-efa2-4b28-8902-65d68f91b02b,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
017f2de6-82b3-48af-9916-1180ba92082c,"#N/A",d003142a-35a3-44ec-ae26-c3140e39af71,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
0181cbb7-ec93-407f-b5d9-8c26e5e8ba64,"#N/A",1829f2fb-2050-438a-96f1-5a6887f29338,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
